proficiency,lex_soph1,lex_soph2
31.6,9,2.824138097
17.16,1.5,2.844754494
23.68,2.75,2.944262436
21.76,0.6,2.70796724
22.91,1.666667,2.880970621
30.45,5.333333,2.76343315
30.19,3.333333,2.712312456
39.39,3.6,2.740285257
37.6,1.8,2.740602747
35.68,6.5,2.612208308
35.56,2,2.781309718
24.44,5,2.712790587
19.84,2.5,2.86003708
36.58,2.888889,2.733242837
24.7,1.714286,2.784884587
39,1.777778,2.770584472
28.02,5.25,2.638847748
30.96,7.5,2.717774652
36.07,20,2.74317176
25.34,2.8,2.772976482
30.57,2.857143,2.840571207
34.79,5.6,2.790707007
33.13,5.8,2.701697944
36.96,13,2.678814526
29.17,9.5,2.73399936
29.42,6.333333,2.696465226
31.47,8.5,2.858958762
22.78,11,2.746246787
33.77,3.833333,2.803813255
24.19,2,2.796708258
28.02,5.75,2.890108747
34.02,5,2.694636648
32.62,15,2.57422389
25.08,0,2.77346465
38.62,1.5,2.820721424
32.75,1.375,2.774768599
24.95,9,2.817357935
22.14,1.625,2.819414691
18.69,6,2.873701564
39.9,9,2.463489479
19.33,2.2,2.815604075
35.94,4.5,2.783153338
42.58,7.333333,2.731730974
36.32,6.333333,2.709450723
39.9,6,2.725298533
25.21,4,2.666880652
35.56,4.5,2.785721005
30.57,4.333333,2.671444851
23.04,5.5,2.667307559
44.24,2.714286,2.70839943
53.57,6,2.654050672
31.98,2.1,2.755632594
32.11,4.333333,2.715695415
33.51,5.666667,2.598707267
27.25,23,2.76100326
40.15,6,2.766654396
35.81,2.8,2.620398109
26.87,5.666667,2.795574292
28.27,2.833333,2.789343805
25.34,2.6,2.733492456
34.41,2.75,2.726980904
30.32,2.333333,2.706738349
44.5,0,2.611501148
31.85,2.875,2.641811018
31.34,3.428571,2.677014163
31.85,2.75,2.734225371
32.49,8.5,2.750861974
27.89,2.75,2.540532539
29.17,3.333333,2.745756692
52.93,12.5,2.494144599
25.46,2.666667,2.737720055
37.47,3.714286,2.729877584
50.5,3.222222,2.734310733
32.87,3.333333,2.718607829
32.23,1.875,2.700118343
38.37,14,2.814390832
32.11,0,2.633432998
37.09,5.2,2.660124141
42.58,3.4,2.554338602
56.12,6.25,2.444717193
41.81,5,2.702658084
43.99,5.25,2.699301517
41.3,2.6,2.484947236
35.43,4.75,2.644922679
27.76,2.6,2.826030627
50.76,4.4,2.565241322
49.22,4.4,2.517887769
40.54,4.5,2.708313191
35.68,3.333333,2.539116608
69.28,5.571429,2.526638146
31.85,8.5,2.594892649
39.64,15,2.630104721
39.9,7,2.614287901
33.38,6.333333,2.623162356
45.52,5.75,2.518728768
34.15,2.714286,2.670623763
48.2,12.5,2.732386069
47.95,4,2.697357703
36.07,4.25,2.70994097
57.78,5.75,2.201552873
39.52,3.714286,2.677892339
50.12,4.666667,2.475122801
36.45,12,2.671643451
45.39,2.833333,2.696277099
33,13,2.664015148
42.58,3.75,2.773457249
44.24,0,2.438974184
28.4,5,2.716967113
41.69,13,2.376364907
46.8,2.75,2.531055877
47.56,4,2.713589922
45.39,4.6,2.771863543
35.17,5.666667,2.627379478
35.81,6,2.545648837
33.64,2.142857,2.638094797
35.68,3.833333,2.765657172
35.68,18,2.623704151
44.63,4.4,2.69367616
37.34,3,2.545835999
35.56,21,2.723455896
48.84,2.571429,2.446136085
43.35,4,2.603723546
39.39,8,2.525987135
40.67,6.25,2.554335809
51.01,5.6,2.657935981
36.83,3.833333,2.736845765
36.19,6,2.597093619
31.47,4.75,2.625013729
35.56,17,2.625394133
37.98,2.75,2.622655877
33.89,0,2.71625846
49.22,2.625,2.570716786
35.81,10.333333,2.749993725
37.73,4.25,2.635730367
14.73,6,2.755188312
17.42,10,2.874563097
35.04,7.333333,2.716200464
38.62,2.428571,2.641660855
24.83,2.333333,2.715378138
35.43,1.909091,2.739082291
42.07,3.285714,2.57226151
31.34,3,2.749072816
36.07,2.6,2.784032799
14.22,0,2.861787657
25.08,18,2.718204886
39,2.625,2.748630886
25.08,4.666667,2.68267982
25.85,5,2.768993763
36.83,7.5,2.611974083
33,3.666667,2.634123544
38.37,6.25,2.682133311
29.3,4.2,2.714516123
67.24,3.8,2.38650806
41.05,3,2.675679442
45.52,3,2.69391831
30.06,2.285714,2.935356134
31.47,3.666667,2.677338152
30.96,5.5,2.73483372
38.75,3.2,2.786008585
28.02,1.5,2.893100319
34.28,3.666667,2.800827907
34.66,1.8,2.778780891
36.19,10,2.670313361
22.01,1.666667,2.78908646
29.68,3.25,2.9169126
37.22,5.5,2.648161692
39.13,3.666667,2.616298859
32.36,3,2.698605691
35.04,8.5,2.710893454
32.11,3,2.633565329
22.91,6,2.915892479
35.56,4,2.61285079
36.96,3.125,2.915431317
37.98,11.5,2.584868374
55.23,7.75,2.644574563
39.26,7.5,2.580155713
37.47,2.555556,2.610232789
34.41,4.4,2.731403963
45.39,5,2.573417298
27.51,2.142857,2.699002808
38.24,3.428571,2.842501042
11.41,5,2.812489207
59.32,6.166667,2.58751471
32.49,3.4,2.6807651
19.72,6,2.595910017
49.73,5.25,2.727689179
44.75,12.5,2.598627404
34.79,3.25,2.850227569
23.16,4,2.852665649
27.76,7,2.887425241
25.34,4.666667,2.668189697
37.09,5.6,2.75309202
28.91,1.4,2.907719337
24.19,13,2.688806341
30.83,6.666667,2.719752277
30.96,13,2.703202341
39.39,4.5,2.526020172
42.84,3,2.680078826
36.32,1.833333,2.642414471
35.04,2.5,2.498529235
54.97,10.333333,2.659580234
64.68,2,2.543110911
5.54,1.5,3.076974542
28.79,10.5,2.794000966
37.34,1.4,2.60173328
32.36,11.5,2.585329619
