filename,Country,VST,Proficiency_Number,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,maas_ttr_aw,maas_ttr_cw,mattr50_aw,mattr50_cw,msttr50_aw,msttr50_cw,hdd42_aw,hdd42_cw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
W_CHN_PTJ0_001_B1_1.txt,CHN,30,2,0.569105691,0.44047619,0.488095238,0.630630631,0.054016006,0.047862389,0.789162562,0.78483871,0.784,0.76,0.804447821,0.769687441,65.73913043,55.5,71.01052632,58.91130988,67.16269841,51.56756757,14.55555556,13.78947368,7.485714286,1.944444444,2,1.842105263,0.371428571,0.684210526,1.055555556,0.578947368,0.157894737,0.085714286,1.947368421,1.057142857
W_CHN_PTJ0_010_B1_1.txt,CHN,33,2,0.650485437,0.436548223,0.52284264,0.779069767,0.053495104,0.028972585,0.759594595,0.878918919,0.746666667,0.82,0.77879878,0.871982438,61.59305211,108.9936842,62.12432543,0,62.5786802,94,14.35714286,13.4,8.04,1.785714286,2.4,1.666666667,0.36,0.6,1.071428571,0.466666667,0.2,0.12,1.533333333,0.92
W_CHN_PTJ0_012_B1_1.txt,CHN,35,2,0.561904762,0.41314554,0.492957746,0.670454545,0.056663048,0.045921732,0.733780488,0.777435897,0.76,0.8,0.782198714,0.785455889,59.00675676,63,46.2025463,54.51716247,49.2629108,58.69318182,15.57142857,13.625,7.517241379,2.071428571,2.375,1.8125,0.448275862,0.8125,1.142857143,0.5,0.25,0.137931034,1.5625,0.862068966
W_CHN_PTJ0_013_B1_2.txt,CHN,39,3,0.661016949,0.495327103,0.551401869,0.735849057,0.047604481,0.032475788,0.808848485,0.89122807,0.785,0.86,0.803583689,0.834656932,72.79283887,62.13437196,77.4381767,14.8,74.78504673,76.95283019,17.53846154,17.53846154,14.25,1.230769231,2.923076923,1.230769231,0.4375,0.538461538,1,0.384615385,0.461538462,0.375,2.769230769,2.25
W_CHN_PTJ0_014_B1_2.txt,CHN,39,3,0.675,0.445783133,0.481927711,0.72972973,0.055212596,0.03271017,0.7417,0.844516129,0.755,0.79,0.764032962,0.824194147,53.68976898,114.996,53.67287752,0,52.62248996,86.77477477,16.0625,15.11764706,9.518518519,1.6875,2.411764706,1.588235294,0.407407407,0.647058824,1.0625,0.411764706,0.176470588,0.111111111,1.764705882,1.111111111
W_CHN_PTJ0_016_B1_2.txt,CHN,39,3,0.5625,0.4375,0.428571429,0.551020408,0.066618221,0.065279581,0.695085714,0.711020408,0.695,0.6,0.737488248,0.715680853,43.09007634,32.66666667,37.63057369,32.55568182,38.41071429,30.20408163,17.76923077,17.76923077,10.5,1.692307692,2.538461538,1.692307692,0.272727273,0.461538462,1,0.307692308,0.615384615,0.363636364,2,1.181818182
W_CHN_PTJ0_018_B1_2.txt,CHN,39,3,0.589041096,0.474489796,0.37244898,0.462365591,0.081632559,0.086457024,0.635918367,0.601363636,0.6,0.54,0.688680575,0.616888576,30.48888889,21.75578406,27.25548654,20.39166667,27.14285714,19.5483871,12.375,12.375,9,1.375,1.75,1.375,0.272727273,0.375,1,0.3125,0.1875,0.136363636,1,0.727272727
W_CHN_PTJ0_020_B1_1.txt,CHN,25,2,0.617647059,0.413636364,0.463636364,0.692307692,0.060839423,0.041612134,0.727602339,0.793809524,0.72,0.72,0.750946419,0.807854446,44,55.453125,45.24749467,59.025,42.65454545,63.41758242,16.07142857,14.0625,9.375,1.714285714,2.0625,1.5,0.291666667,0.4375,1.142857143,0.375,0.1875,0.125,1.6875,1.125
W_CHN_PTJ0_022_A2_0.txt,CHN,21,1,0.647619048,0.462311558,0.527638191,0.739130435,0.052540814,0.034041278,0.772,0.790232558,0.746666667,0.78,0.800760658,0.837291583,66.33333333,78.62790698,61.47996234,68.07142857,65.26633166,91.30434783,14.57142857,13.6,9.272727273,1.571428571,2.266666667,1.466666667,0.363636364,0.533333333,1.071428571,0.4,0.2,0.136363636,1.533333333,1.045454545
W_CHN_PTJ0_026_A2_0.txt,CHN,16,1,0.617283951,0.489795918,0.413265306,0.520833333,0.073037508,0.072097848,0.703945578,0.682978723,0.72,0.66,0.718077061,0.666656768,46.24719101,36.99082569,43.40501876,32.79452055,42.65816327,31.6875,13.73333333,11.44444444,8.956521739,1.533333333,1.833333333,1.277777778,0.260869565,0.333333333,1.2,0.277777778,0.111111111,0.086956522,1.222222222,0.956521739
