Score,acad_av_delta_p_verb_out_type,acad_av_lemma_construction_freq_type,acad_av_construction_freq_log,DC_C,MLC,CN_C
4,0.011566,13107.13333,4.018286,0.47619,8.428571,0.785714
2,0.048195,25033.94118,4.189628,0.526316,9.052632,0.789474
2.5,0.026539,21478.74074,4.158452,0.333333,10.037037,0.851852
4,0.007964,11026.5,3.994514,0.313725,7.901961,0.54902
3.5,0.024586,20326.52632,4.139969,0.28,10.72,0.92
3,0.022161,7907.95,3.735309,0.48,10.84,1.04
4,0.015877,26612,4.037656,0.285714,13.642857,1.428571
3.5,0.020234,17101.1579,4.031828,0.3125,10.90625,1.125
4,0.038429,19202.08571,4.174004,0.421053,10.184211,0.921053
3,0.029716,20924.09677,4.335105,0.404762,7.47619,0.690476
5,0.018809,12188.81967,4.384341,0.258621,11.431034,0.982759
4.5,0.025189,4031.21875,3.741285,0.352941,12,0.970588
3.5,0.019609,17317.46342,3.946917,0.489796,9.061224,1.081633
2,0.016108,24320.73333,4.302005,0.295455,7.454545,0.636364
4,0.013601,23688.26087,4.060499,0.25,10.15625,1.0625
2.5,0.025181,20661.94118,4.045964,0.6,11.333333,1.2
3,0.02754,16254.08571,4.202214,0.333333,10.076923,0.948718
3,0.009076,15721.21875,4.035164,0.527778,7.527778,0.944444
4.5,0.023338,18027.03125,4.147655,0.28125,10.78125,1.15625
3,0.007763,15280.30435,4.045989,0.393939,10.666667,1.333333
4,0.021714,14126.96667,4.033972,0.26087,8.043478,0.608696
3.5,0.006106,25365.91304,3.816989,0.363636,10.818182,1.227273
3,0.017618,5162.84,3.932106,0.366667,10.2,0.833333
4.5,0.030381,28624.2,4.074029,0.323529,11.147059,1.058824
4,0.023132,12842.1875,3.961962,0.294118,11.441176,1.176471
4.5,0.018288,19684.39394,3.945002,0.428571,9.8,0.8
3.5,0.027872,23249.5625,4.143943,0.4375,11.15625,1.15625
3,0.012272,21038.8,4.144595,0.37931,11.413793,1.034483
2,0.025536,34893.85714,4.109404,0.48,9.76,0.8
4,0.038936,13892.85294,4.122593,0.227273,8.340909,0.75
3,0.02623,15897.56757,4.375838,0.30303,10.969697,0.878788
5,0.018951,22307.78788,4.203605,0.413793,13,1.551724
4.5,0.017272,13768.31429,3.838466,0.386364,11.977273,1.181818
5,0.023623,25562.64,3.929234,0.377778,8.933333,1.066667
3.5,0.008336,16732.02326,4.198539,0.378378,10.189189,0.864865
4.5,0.005339,21009.28125,3.889421,0.344828,12.068966,1.137931
5,0.018393,17719.25581,4.063603,0.409091,9.931818,1.113636
3.5,0.036426,14375.65517,4.352182,0.68,11.04,1.4
4,0.019718,18225.57895,4.082298,0.567568,9.945946,0.72973
2,0.014356,34366.55556,3.855545,0.368421,8.263158,0.789474
3,0.018423,14072.18868,4.000926,0.189655,9.913793,0.62069
3.5,0.021861,15183.27586,3.987971,0.515152,9.939394,0.878788
2,0.008507,23704.2,3.765348,0.6,10.3,1.35
4,0.016385,11796.65714,3.925736,0.42,9.42,0.92
4.5,0.036256,15487.37838,3.968213,0.229167,9.416667,0.729167
3,0.022688,15030.14706,4.189419,0.348837,8.325581,0.604651
3,0.030498,16841.31818,4.082574,0.583333,10.208333,1.458333
3,0.046959,1101.166667,3.731708,0.483871,9.548387,0.774194
2.5,0.045532,23073.13044,4.172292,0.428571,9.75,0.892857
4.5,0.018546,14791.7381,4.089921,0.481481,7.018519,0.962963
2,0.005193,15852.03125,4.399386,0.264706,9.264706,0.941176
3,0.034931,33750.25,3.958132,0.428571,9.178571,0.857143
3.5,0.034591,23530.78571,4.098152,0.357143,11.25,1.5
3.5,0.022203,20074,4.307364,0.354839,10.290323,0.677419
3.5,0.021761,10586.12121,3.779707,0.204545,8.977273,0.795455
5,0.011716,13535.6,3.952057,0.529412,12.147059,1.588235
4.5,0.012063,23360.28571,4.184429,0.393939,11.030303,1.242424
4.5,0.042804,21537.23333,4.095714,0.3125,10.71875,1.15625
4.5,0.037492,16869.77273,3.796623,0.407407,9.425926,0.981481
4,0.006267,9758.810345,4.073078,0.333333,8.133333,0.866667
1,0.02918,14513.16667,4.196636,0.333333,10,1.444444
2.5,0.021456,17969.33333,4.133533,0.5,8.421053,0.736842
4,0.013512,27529.52,3.932011,0.410256,9.333333,1
5,0.02967,21752.5625,4.10486,0.433333,10.6,1.2
