Score,acad_av_delta_p_verb_out_type,acad_av_lemma_construction_freq_type,acad_av_construction_freq_log,DC_C,MLC,CN_C
3,0.010692,14038.02222,4.511796,0.395833,7.5,0.666667
2.5,0.010668,23628.54839,4.382135,0.555556,8.361111,0.888889
3,0.012247,17096.02273,4.271915,0.574468,7.468085,0.87234
3,0.020537,11793.37209,4.175704,0.58,7.1,0.58
3.5,0.018085,8898.181818,4.048702,0.489796,8.795918,0.816327
4,0.015879,13378.56757,4.26877,0.555556,10,1.138889
3.5,0.025301,17210.82222,4.40661,0.564103,8.564103,1
3.5,0.025179,19412.85714,4.120518,0.541667,9.75,1.041667
4.5,0.017465,13670.07843,4.064275,0.54,9.56,1.12
3,0.019107,15558.85185,4.421289,0.431818,7.681818,0.386364
3,0.020653,17310.475,4.220942,0.5,8.96875,0.84375
4.5,0.030483,12900.31818,4.378286,0.567568,9.405405,1
3.5,0.014715,15114.83333,4.333836,0.482143,8.339286,0.767857
4,0.009812,21598.97059,4.328248,0.512821,8.333333,0.871795
4,0.023023,10655.77778,4.041355,0.486486,9.702703,0.837838
4.5,0.018218,15296.96,4.297406,0.555556,7.777778,0.703704
4,0.011702,12377.86207,3.992404,0.471698,10.584906,1.09434
4.5,0.022196,15218.92105,4.303776,0.642857,8.02381,0.738095
4,0.014048,16665,4.161521,0.444444,9.518519,0.833333
4,0.007528,15184.22222,4.091505,0.434783,9.478261,1.065217
3,0.016944,22482.5625,4.364512,0.653846,6.769231,0.769231
4.5,0.033842,19248.63636,4.126345,0.428571,11.02381,0.857143
4,0.03496,20398.91892,4.12887,0.413043,8.847826,0.782609
3.5,0.036245,15379.68628,4.154139,0.491525,8.474576,0.847458
3,0.023609,18239.13889,4.129875,0.483871,8.83871,0.677419
3.5,0.050737,22720.33333,4.148972,0.428571,10.428571,1
4,0.01522,20344.35294,4.052781,0.481481,13.259259,1.592593
3.5,0.03466,19400.54546,4.39367,0.555556,9.305556,1.111111
3.5,0.015745,16438.97059,4.384322,0.289474,9.026316,0.763158
4,0.016985,29896.5,4.330077,0.380952,13.285714,1.619048
3.5,0.007919,10455.65217,4.223669,0.54386,8.175439,0.614035
4,0.028822,15571.09524,4.538003,0.488889,9.488889,1.044444
4,0.021952,17115.72093,4.15361,0.372093,10.046512,1.116279
3.5,0.033679,18911.85294,4.148657,0.394737,10.684211,1.157895
4,0.018389,17166,4.235604,0.54,7.26,0.82
3.5,0.033403,18857.2069,4.290473,0.285714,10.371429,1.142857
4,0.032225,13870.40741,4.540334,0.3125,9.6875,0.78125
3.5,0.02554,9430.391304,4.023945,0.510638,9.829787,0.723404
4.5,0.025794,15020.10417,4.341668,0.384615,8.346154,0.75
4,0.017491,14259.87931,4.171512,0.508475,10,0.966102
3.5,0.023685,13172.89474,4.333605,0.545455,8.159091,0.568182
4,0.013788,14965,3.848681,0.448276,12,1.206897
3,0.018878,24161.96154,4.116775,0.53125,9.3125,0.9375
3.5,0.01688,18813.29412,4.029062,0.324324,9.054054,0.72973
3.5,0.02463,27251.51852,4.184413,0.55,9.575,1.025
3.5,0.016569,18614.2381,4.199597,0.42,7.76,0.62
4,0.023902,15530.67308,4.407428,0.509434,8.018868,1.018868
4,0.022341,10834.85417,4.242919,0.608696,9.543478,0.978261
4,0.019341,14545.75556,4.143212,0.54,8.28,0.72
4,0.016058,13102.4,4.049714,0.552632,7.394737,0.605263
4.5,0.016744,15441.7027,3.632657,0.382979,7.851064,0.829787
4.5,0.011492,20243.70968,3.877143,0.363636,10.787879,1.030303
5,0.013138,10889.68571,4.161728,0.477612,8.089552,0.701493
4.5,0.0247,9044.925926,4.247241,0.509434,7.660377,0.886792
5,0.03312,11651.16667,3.965543,0.466667,10.377778,1.111111
4,0.006002,19378.25,4.144334,0.416667,9.861111,0.611111
4,0.010366,15477.79167,3.719418,0.391304,14.043478,1.652174
4,0.024914,12455.73913,4.27209,0.538462,8.461538,0.942308
4,0.078809,28952.4,4.767233,0.484848,10.151515,0.939394
4.5,0.025732,8762.241379,4.260029,0.464286,9.017857,0.678571
4.5,0.018895,12559.45313,4.196756,0.594203,8.724638,0.826087
4.5,0.02788,19063.78049,4.340222,0.490196,8.176471,0.862745
4.5,0.032941,16554.79546,4.440335,0.305556,13.222222,1.194444
5,0.05009,16470.90476,4.26715,0.531915,8.489362,0.93617
5,0.027543,11751.13333,4.172856,0.414634,11.073171,1.243902
4.5,0.01641,13393.20588,4.090611,0.423729,6.864407,0.610169
4.5,0.008845,11541.7037,4.051184,0.459016,8.098361,0.819672
4.5,0.02659,20109.66667,4.31515,0.48,8.64,0.52
4.5,0.034527,8912.733333,3.842287,0.522727,10.909091,1.045455
4.5,0.036422,17957.325,4.153201,0.487805,10.853659,1.146341
4.5,0.005388,13162.4375,4.117048,0.342105,9.631579,0.894737
4.5,0.018452,19578.30556,4.296258,0.659574,9,1.085106
5,0.01824,17686.525,4.407798,0.434783,10.5,0.978261
4.5,0.010606,8082.777778,3.894302,0.488372,8.72093,0.813953
5,0.012133,13393.72549,4.175463,0.679245,9.90566,1.264151
5,0.013309,15627.04762,3.984404,0.525,9.075,1
4.5,0.029772,13229.85714,4.166198,0.454545,13.909091,1.454545
3.5,0.043308,16609.75,4.406146,0.5,11.615385,1.192308
4,0.019511,14590.81633,3.953498,0.488889,9.711111,0.711111
4.5,0.037474,26527.6,4.029538,0.585366,9.097561,1
5,0.024888,14789.72414,3.859158,0.513514,13.081081,1.756757
4.5,0.018242,19016.84091,4.42598,0.714286,7.142857,0.693878
4,0.017123,12752.41177,4.17053,0.490196,6.705882,0.54902
4.5,0.012264,16775.7561,3.837433,0.404762,8.5,0.690476
5,0.011495,11601.71429,4.256742,0.434783,7.724638,0.826087
4.5,0.024905,18233.61905,4.202918,0.659091,8.886364,0.886364
4.5,0.013351,12952.475,4.161097,0.55814,7.465116,0.581395
5,0.034457,19784.9375,4.123852,0.40625,12.65625,1.46875
4.5,0.021347,24932.79167,4.434433,0.434783,12.043478,1.434783
4.5,0.024454,18985.75676,4.281026,0.421053,9.605263,0.894737
3.5,0.036722,16018.45455,4.413583,0.510204,9.040816,0.755102
3,0.043388,22659.36364,4.332221,0.520833,10.6875,0.895833
3,0.011266,16900.03571,3.984992,0.428571,12.190476,1.095238
2,0.031551,24956.86667,3.961309,0.277778,9,0.444444
2.5,0.023938,23281.13333,4.393568,0.419355,8.935484,0.774194
2.5,0.016092,11830.56,4.176764,0.16129,12.354839,1.645161
3,0.0194,15050.27907,4.153145,0.444444,7.577778,0.8
4,0.012736,16413.70213,4.421057,0.352941,9.803922,0.901961
3,0.033128,14979.0625,4.309675,0.472222,10.916667,1.333333
2.5,0.011665,26210.42308,4.645907,0.555556,8.259259,0.814815
