filenames,Proficiency,Frequent_Trigram_Proportion,Meaningfulness_AW,Register_Range_CW,L1_Word_Reaction_Time,Concreteness_AW
185.txt,High,0.261194,373.444444,13.626866,612.737594,2.678286
186.txt,Beginner,0.058824,372.223881,13.25,641.707975,3.515814
187.txt,High,0.269461,366.862595,14,610.997375,2.878452
188.txt,Beginner,0.121951,376.007752,13.888889,611.244568,2.431084
189.txt,Beginner,0.295455,420.87069,14.625,599.381008,2.744265
19.txt,Beginner,0.168224,376.594937,13.757576,615.553143,2.702727
190.txt,Int,0.118182,379.802632,13.212121,615.861215,2.468148
191.txt,Int,0.11811,384.354839,13.144928,606.730164,2.793594
192.txt,High,0.055118,373.378947,12.5625,627.180083,2.603226
193.txt,Beginner,0.144231,391.535714,14.671429,596.341667,2.656852
194.txt,Int,0.240876,383.207921,13.757143,621.374887,2.445571
195.txt,Beginner,0.177778,390.552381,14.8,623.927638,2.790714
196.txt,Int,0.126984,396.020833,13.513889,612.324661,2.709344
197.txt,Int,0.223077,391.316832,14.536585,608.14811,2.603846
198.txt,Int,0.189873,383.227642,13.666667,606.668141,2.691154
199.txt,Int,0.227545,361.806202,14.298969,615.56491,2.393605
2.txt,Beginner,0.169643,387.537634,13.388889,613.272523,2.884643
20.txt,High,0.240876,382.20202,13.744186,619.079771,2.827941
200.txt,Int,0.153846,364.204546,13.460317,625.374825,2.786379
201.txt,Beginner,0.11236,425.710526,13.607143,622.76631,3.076136
202.txt,Beginner,0.335025,396.846154,14.287234,605.925204,2.712
203.txt,Beginner,0.125874,403.537736,13.806818,610.146058,2.635429
204.txt,Beginner,0.262069,381.803419,14.287671,605.100643,2.457534
205.txt,High,0.193798,375.764706,13.556962,621.756385,2.507077
206.txt,Beginner,0.083871,371.90991,13.266667,609.931892,2.857564
207.txt,High,0.261364,390.761589,14.457831,618.404337,2.867586
208.txt,Int,0.118519,338.37037,12.772152,625.835748,2.357286
209.txt,Int,0.211268,384.453704,13.565789,606.948768,2.607083
21.txt,Int,0.137255,350.138889,13.261538,641.824854,2.500192
210.txt,Beginner,0.241071,381.174419,14.338983,612.049352,2.830702
211.txt,Int,0.174497,357.009615,13.714286,628.243624,2.65961
212.txt,High,0.12963,351.618421,12.704918,619.20934,2.558246
213.txt,Int,0.148936,388.684685,13.810127,605.229489,2.651806
214.txt,Int,0.212121,399.05036,13.7125,611.815062,2.776824
215.txt,Beginner,0.144186,415.463542,14.608,611.753158,2.814636
216.txt,High,0.312,371.148148,14.202532,613.889449,2.655455
217.txt,Beginner,0.060606,389.680556,13.836735,622.667442,2.832857
218.txt,Int,0.20625,348.370968,13.053191,619.84925,2.520482
219.txt,High,0.270833,356.626168,11.945946,622.297376,2.360282
22.txt,Int,0.053763,325.368421,12.313725,632.173068,2.518511
220.txt,Int,0.147929,353.414063,13.635417,617.941963,2.70907
221.txt,Int,0.217391,374.148649,13.867925,619.526374,2.905556
222.txt,Int,0.231707,374.217391,13.581081,617.899576,2.462235
223.txt,Beginner,0.25641,400.15,14.477273,610.563742,2.769747
224.txt,High,0.278146,376.898305,13.658824,625.375137,2.626364
225.txt,High,0.336364,369.967742,14.065574,615.926182,2.495455
226.txt,High,0.244898,380.09009,13.775,615.552199,2.511549
227.txt,Int,0.136986,421.700787,14.430556,614.722128,3.014533
228.txt,Int,0.271605,371.984615,13.380435,618.257607,2.613827
229.txt,Beginner,0.263473,374.012987,14.518987,603.460301,2.419412
23.txt,Int,0.130081,375.2,13.890411,620.713866,2.526613
230.txt,Beginner,0.140187,369.130952,14.134328,619.026698,2.436667
231.txt,Beginner,0.057692,373.117647,13.305556,638.4435,3.536364
232.txt,High,0.306122,372.476191,14,615.523197,2.541351
233.txt,Int,0.261628,367.535211,13.914894,609.623412,2.433146
234.txt,Int,0.227848,363.496124,14.370787,613.622866,2.322405
235.txt,Int,0.311765,368.073333,14.648352,614.052412,2.493256
236.txt,Int,0.152542,386.762887,13,618.962087,3.033279
237.txt,Beginner,0.164384,362.732143,12.875,615.771181,2.568553
238.txt,Int,0.203252,382.653846,13.865672,621.80096,2.7
239.txt,Int,0.204678,390.374046,14.290698,617.645127,2.616941
24.txt,High,0.22069,367.715447,13.631579,611.636667,2.746351
240.txt,Int,0.116129,387.647541,14.042553,609.066579,2.826234
25.txt,Beginner,0.193277,363.5,12.716418,617.091983,2.749531
26.txt,Int,0.298429,379.590643,14,602.386368,2.890612
27.txt,Int,0.122807,375.453488,13.594595,615.62693,2.618305
28.txt,High,0.198276,385.11579,12.470588,621.714274,2.554
29.txt,Int,0.121951,368.929412,13.131579,626.942917,2.532222
3.txt,Beginner,0.2,410.307692,13.532258,614.722843,3.031481
30.txt,Int,0.084967,373.068376,11.873563,622.814155,2.953289
31.txt,High,0.153153,365.17284,11.539683,634.668198,2.78386
32.txt,High,0.106667,365.810811,12.710526,617.926027,2.549868
33.txt,Int,0.19403,363.592233,13.535211,628.146489,2.782537
34.txt,Int,0.134615,370.591667,13.096386,620.092662,2.558228
35.txt,Int,0.142857,347.707865,12.253968,618.516612,2.660781
36.txt,High,0.192982,377.943182,12.367647,631.353304,2.7495
37.txt,Int,0.146067,367.142857,13.351852,618.420222,2.485
38.txt,High,0.238095,355.377193,13.428571,623.051275,2.282468
39.txt,High,0.246479,358.239316,13.346154,622.55507,2.537606
4.txt,High,0.193333,337.161905,12.301205,638.891678,2.476962
40.txt,Int,0.164706,362.658915,13.362637,625.788667,2.423488
41.txt,High,0.258993,358.123894,13.5,620.279429,2.461081
42.txt,High,0.163522,359.251969,12.811765,615.787516,2.620506
43.txt,High,0.322581,360.180952,13.746479,606.1525,2.713594
44.txt,Int,0.139535,375.018519,13.253165,612.335118,2.620303
45.txt,Int,0.349057,355.89011,13.35,608.467642,2.654909
46.txt,Beginner,0.129213,394.637037,13.395833,611.583837,2.748242
47.txt,Beginner,0.217054,373.216981,13.108108,613.318281,2.779104
48.txt,High,0.217054,353.589474,12.492063,630.317559,2.311176
49.txt,High,0.173077,378.541667,13.771739,617.343481,2.522927
5.txt,Int,0.327684,386.323353,13.60241,613.735714,2.563068
50.txt,Beginner,0.156863,378.251534,14.118812,612.212577,2.631287
51.txt,High,0.212766,363.733333,13.2,627.416197,2.48
52.txt,Int,0.101449,381.134615,13.597403,625.444088,2.675211
53.txt,Beginner,0.207547,375.559702,13.770115,606.589295,2.769494
54.txt,Beginner,0.209091,364.556818,13.384615,624.737963,2.381296
55.txt,Int,0.243056,361.058824,13,626.023192,2.469041
56.txt,High,0.362319,361.980769,13.42029,626.317754,2.472535
57.txt,Beginner,0.10687,400.576923,14.457143,606.677016,2.853433
58.txt,Int,0.201258,381.837037,13.139535,617.349032,3.204568
59.txt,Int,0.176471,355.672414,13.7125,617.034834,2.728101
6.txt,Beginner,0.186207,367.469027,13.689189,618.248169,2.382877
60.txt,Int,0.25,388.266667,14.447059,610.797376,2.772466
61.txt,High,0.223022,353.156522,12.735294,621.174118,2.499861
62.txt,Beginner,0.206897,391.65625,13.538462,626.65687,2.644667
63.txt,Int,0.245161,376.70339,13.894118,614.175828,2.661184
64.txt,Beginner,0.057143,370.528571,13.473684,640.46321,3.538837
65.txt,High,0.22314,375.850467,13.686567,614.140492,2.800952
66.txt,High,0.2,360.45614,12.9,621.235037,2.559853
67.txt,Int,0.127517,395.223214,14.036585,613.093732,2.973733
68.txt,Beginner,0.245283,385.131035,14.414894,610.25205,2.68679
69.txt,Beginner,0.198473,375.082569,13.641791,617.550938,2.290758
7.txt,Beginner,0.100592,368.09322,13.322222,624.320305,2.447381
70.txt,Int,0.257669,354.255475,14.12,607.792012,2.765542
71.txt,Beginner,0.106383,389.653333,12.849057,612.441648,2.786444
72.txt,High,0.295455,353.4,14.088608,609.364211,2.449118
73.txt,Int,0.166667,388.637168,13.909091,614.705969,2.798143
74.txt,High,0.153333,364.490385,12.522727,636.214211,2.5825
75.txt,Beginner,0.177778,380.418919,14.511628,609.833452,2.4825
76.txt,Int,0.158621,367.609524,13.077922,623.463793,2.385694
77.txt,Int,0.136752,402.752381,14.351852,603.857368,2.817288
