Score,pass.fail,Prompt,nwords,frequency_AW,frequency_CW,frequency_FW,bigram_frequency
4.5,pass,p2,352,3.192056556,2.63609953,4.060996798,1.525665828
5,pass,p2,362,3.144501457,2.576674513,3.969385193,1.472692197
4.5,pass,p2,443,3.221385025,2.662734687,3.892894018,1.449917715
3,fail,p2,332,3.313789751,2.788591612,3.94182389,1.639104188
3.5,pass,p2,327,3.190217058,2.589093583,3.954502619,1.355133956
4.5,pass,p2,290,3.226874259,2.536907804,4.097546215,1.562699546
4,pass,p2,322,3.17696175,2.633963542,3.950936809,1.408788363
4,pass,p2,341,3.186210989,2.63737164,3.954586078,1.478691145
3.5,pass,p2,309,3.270380091,2.631870095,4.059127732,1.547990414
4,pass,p2,429,3.181069704,2.587828841,4.01227724,1.498265109
4.5,pass,p2,324,3.262846453,2.740710993,4.05420801,1.607978172
3.5,pass,p2,339,3.151408575,2.589807615,4.048228713,1.510057477
2.5,fail,p2,159,3.290676589,2.690444572,4.129095914,1.605585488
2,fail,p2,180,3.174892381,2.73359511,3.859891129,1.47901103
3.5,pass,p2,318,3.32167112,2.767660346,4.011195319,1.637025302
4,pass,p2,346,3.220161835,2.647441222,3.915608294,1.553739665
3,fail,p2,238,3.21786758,2.722110207,3.89250648,1.563306584
3,fail,p2,321,3.314656283,2.732839312,4.090412245,1.533895839
3.5,pass,p2,373,3.153107699,2.700793946,3.867451489,1.567914432
3,fail,p2,289,3.081504197,2.690641106,3.753642595,1.539821028
4,pass,p2,326,3.352270215,2.814581569,3.928365192,1.587812253
2,fail,p2,155,3.228971755,2.757248094,3.857936636,1.739199727
2.5,fail,p2,240,3.181845861,2.630239424,3.890281578,1.522666651
4,pass,p2,349,3.250928083,2.793467178,3.856754686,1.60241351
3.5,pass,p2,240,3.239689223,2.658726211,4.03139372,1.585651376
3,fail,p2,246,3.19941111,2.669882707,3.850390982,1.551300158
4,pass,p2,332,3.159644148,2.635908596,4.036794747,1.515730903
3.5,pass,p2,302,3.121498428,2.585602724,3.971539889,1.406855124
4,pass,p2,344,3.195367932,2.701562168,3.961493052,1.477430601
3,fail,p2,273,3.159877731,2.657544269,3.82965568,1.509442403
5,pass,p2,570,3.007411922,2.514760957,3.766007212,1.405442624
4.5,pass,p2,365,3.243047691,2.843774462,3.948530466,1.493868981
3.5,pass,p2,400,3.185538651,2.730810553,3.926353962,1.513175394
2,fail,p2,279,3.384504287,3.015112835,3.92833059,1.74924713
4,pass,p2,290,3.233561207,2.759530969,3.983390857,1.541831825
2.5,fail,p2,286,3.275853491,2.799676237,3.859078345,1.604001342
3,fail,p2,347,3.273803305,2.765931643,4.026476416,1.543222734
3,fail,p2,263,3.361381467,2.865834785,4.020594944,1.584227644
4.5,pass,p2,312,3.368480623,2.8578136,4.126244593,1.589099004
3,fail,p2,315,3.202495466,2.738086712,3.851942082,1.444130433
4,pass,p2,327,3.2791422,2.732984013,3.941265481,1.53944787
3.5,pass,p2,216,3.379254195,2.878920163,3.967275636,1.622191579
3,fail,p2,276,3.33707318,2.805586974,3.962855327,1.560781103
4.5,pass,p2,335,3.169359639,2.703169637,3.926452203,1.439682046
4,pass,p2,350,3.254315343,2.654591773,3.958338664,1.550359391
4.5,pass,p2,297,3.198802265,2.729956899,3.847684252,1.526786139
3.5,pass,p2,318,3.276258493,2.673180058,4.011928642,1.566008544
3,fail,p2,295,3.291506665,2.725990723,4.147030782,1.614334274
2,fail,p2,223,3.281156713,2.721498375,3.885144424,1.37415715
4,pass,p2,322,3.188656855,2.720809197,3.915560654,1.516807732
3,fail,p2,333,3.362773675,2.880344282,4.090072532,1.520941602
5,pass,p2,341,3.171673913,2.589433022,4.011764341,1.492811882
4.5,pass,p2,476,3.265735964,2.672713804,4.000085835,1.617149819
5,pass,p2,351,3.151440948,2.70284931,3.84383239,1.559379868
3.5,pass,p2,337,3.139175426,2.625741353,3.8999573,1.371452443
4.5,pass,p2,313,3.245021567,2.723906803,4.043503866,1.492040483
5,pass,p2,399,3.264423158,2.856859223,3.857938137,1.552593415
3.5,pass,p2,259,3.407897065,2.801316558,4.122428339,1.754905144
4,pass,p2,343,3.22825134,2.763860382,3.800282586,1.488641027
2,fail,p2,133,3.227822891,2.743500329,3.988901203,1.57809206
3,fail,p2,508,3.176659399,2.729445874,3.861031612,1.525394954
3.5,pass,p2,298,3.273984885,2.662052085,3.97525094,1.628088844
2,fail,p2,198,3.135859771,2.44746647,3.93898529,1.382247816
4,pass,p2,433,3.22839417,2.759961133,3.859989277,1.349159172
4.5,pass,p2,394,3.207376133,2.713203242,3.977515703,1.594594944
3,fail,p2,316,3.271225617,2.800358933,3.983362833,1.535448007
3,fail,p2,225,3.19462627,2.737032515,3.842072753,1.438093919
3,fail,p2,261,3.307475734,2.746973594,3.863493857,1.470667614
2.5,fail,p2,242,3.201275761,2.670623058,3.927703247,1.590609741
4.5,pass,p2,334,3.305015851,2.836184221,3.936636242,1.582504777
2,fail,p2,270,3.306538086,2.877854152,3.976101564,1.6312666
3,fail,p2,233,3.236900691,2.755696238,3.814346036,1.5873276
3.5,pass,p2,285,3.25608919,2.633461192,4.070694154,1.585691834
3.5,pass,p2,286,3.263948806,2.727668772,4.137886639,1.687077655
3.5,pass,p2,352,3.129676206,2.638292971,3.892420331,1.44757789
5,pass,p2,379,3.298092992,2.724060364,4.109145544,1.526905791
4.5,pass,p2,328,3.243965718,2.765792977,3.981933098,1.592736036
4.5,pass,p2,318,3.13976799,2.56670179,4.030669223,1.45501345
4.5,pass,p2,474,3.194668807,2.745910766,3.799213317,1.523431293
4,pass,p2,550,3.189563268,2.606200485,3.881297793,1.514413856
1,fail,p2,87,3.188650196,2.751302014,3.942698786,1.398579757
2.5,fail,p2,269,3.308934509,2.773640908,3.89498871,1.56763671
4,pass,p2,336,3.260928108,2.74647013,4.009918399,1.635196838
5,pass,p2,297,3.148502183,2.593132821,4.020529515,1.576272571
