Score,frequency_AW,frequency_CW,frequency_FW,bigram_frequency,MLC
3,3.361381467,2.865834785,4.020594944,1.584227644,7.527778
4.5,3.368480623,2.8578136,4.126244593,1.589099004,10.78125
3,3.202495466,2.738086712,3.851942082,1.444130433,10.666667
4,3.2791422,2.732984013,3.941265481,1.53944787,8.043478
3.5,3.379254195,2.878920163,3.967275636,1.622191579,10.818182
3,3.33707318,2.805586974,3.962855327,1.560781103,10.2
4.5,3.169359639,2.703169637,3.926452203,1.439682046,11.147059
4,3.254315343,2.654591773,3.958338664,1.550359391,11.441176
4.5,3.198802265,2.729956899,3.847684252,1.526786139,9.8
3.5,3.276258493,2.673180058,4.011928642,1.566008544,11.15625
3,3.291506665,2.725990723,4.147030782,1.614334274,11.413793
2,3.281156713,2.721498375,3.885144424,1.37415715,9.76
4,3.188656855,2.720809197,3.915560654,1.516807732,8.340909
3,3.362773675,2.880344282,4.090072532,1.520941602,10.969697
5,3.171673913,2.589433022,4.011764341,1.492811882,13
4.5,3.265735964,2.672713804,4.000085835,1.617149819,11.977273
5,3.151440948,2.70284931,3.84383239,1.559379868,8.933333
3.5,3.139175426,2.625741353,3.8999573,1.371452443,10.189189
4.5,3.245021567,2.723906803,4.043503866,1.492040483,12.068966
5,3.264423158,2.856859223,3.857938137,1.552593415,9.931818
3.5,3.407897065,2.801316558,4.122428339,1.754905144,11.04
4,3.22825134,2.763860382,3.800282586,1.488641027,9.945946
2,3.227822891,2.743500329,3.988901203,1.57809206,8.263158
3,3.176659399,2.729445874,3.861031612,1.525394954,9.913793
3.5,3.273984885,2.662052085,3.97525094,1.628088844,9.939394
2,3.135859771,2.44746647,3.93898529,1.382247816,10.3
4,3.22839417,2.759961133,3.859989277,1.349159172,9.42
4.5,3.207376133,2.713203242,3.977515703,1.594594944,9.416667
3,3.271225617,2.800358933,3.983362833,1.535448007,8.325581
3,3.19462627,2.737032515,3.842072753,1.438093919,10.208333
3,3.307475734,2.746973594,3.863493857,1.470667614,9.548387
2.5,3.201275761,2.670623058,3.927703247,1.590609741,9.75
4.5,3.305015851,2.836184221,3.936636242,1.582504777,7.018519
2,3.306538086,2.877854152,3.976101564,1.6312666,9.264706
3,3.236900691,2.755696238,3.814346036,1.5873276,9.178571
3.5,3.25608919,2.633461192,4.070694154,1.585691834,11.25
3.5,3.263948806,2.727668772,4.137886639,1.687077655,10.290323
3.5,3.129676206,2.638292971,3.892420331,1.44757789,8.977273
5,3.298092992,2.724060364,4.109145544,1.526905791,12.147059
4.5,3.243965718,2.765792977,3.981933098,1.592736036,11.030303
4.5,3.13976799,2.56670179,4.030669223,1.45501345,10.71875
4.5,3.194668807,2.745910766,3.799213317,1.523431293,9.425926
4,3.189563268,2.606200485,3.881297793,1.514413856,8.133333
1,3.188650196,2.751302014,3.942698786,1.398579757,10
2.5,3.308934509,2.773640908,3.89498871,1.56763671,8.421053
4,3.260928108,2.74647013,4.009918399,1.635196838,9.333333
5,3.148502183,2.593132821,4.020529515,1.576272571,10.6
