Score,frequency_AW,frequency_CW,frequency_FW,bigram_frequency,MLC
3,3.318969034,2.898703173,3.911161837,1.538402848,7.717391
3,3.368666857,2.909060696,3.809888771,1.554800145,7.043478
3,3.215196384,2.709876046,3.913192821,1.556590438,8.418605
3,3.339056352,2.904735936,3.9043116,1.535663459,7.590909
3,3.253673442,2.88964492,3.661202227,1.4345122,6.839286
2.5,3.145232128,2.702267166,3.748771889,1.444396403,11.2
3,3.250219203,2.821631758,3.870372247,1.473821067,9.2
4.5,3.20584401,2.651326523,3.781689093,1.434035874,9.833333
3.5,3.282937274,2.655544965,3.962302911,1.52455628,11.90625
3,3.301904988,2.802864633,3.851353461,1.47184137,7.322581
3,3.191758094,2.751564814,3.838073626,1.472204406,7.711111
3,3.106667923,2.657604947,3.816724764,1.350366215,8.775
3.5,3.450407343,3.048629761,4.02575284,1.665230026,8.404762
3,3.235234921,2.784962046,3.754527725,1.515420641,8.102564
2.5,3.30625729,2.888710968,3.793826908,1.526696361,6.333333
3,3.211265374,2.665015673,3.849144056,1.498298415,11.393939
3,3.175285401,2.696733505,3.650749866,1.326574353,9.722222
2.5,3.080710408,2.690976045,3.696586932,1.331329283,9.958333
3.5,3.197042719,2.65675565,3.92505665,1.509569738,10.133333
3.5,3.331410667,2.710475681,3.978064853,1.535095942,9.487179
3,3.226955979,2.830109588,3.732315054,1.435323998,8.447368
3,3.249592044,2.800525423,3.747826543,1.458248699,9.852941
3,3.319920754,2.763424112,3.947859533,1.55137527,9.131579
2.5,3.295188777,2.848220373,3.852910415,1.583593899,6.413043
3,3.125665289,2.722860102,3.686494051,1.415401736,7.125
3.5,3.266834614,2.783340818,3.950888799,1.48173071,9.119048
4,3.265420921,2.798349554,3.802804108,1.512896595,10.27907
3.5,3.167480752,2.753853773,3.72268475,1.371776083,8.688889
2.5,3.261044897,2.714955502,3.917198821,1.573322419,7.204545
3.5,3.233883578,2.769708397,3.843546503,1.323861714,6.734694
3,3.220163137,2.720736778,3.94413778,1.447446977,8.325581
3,3.241990151,2.745802973,3.870255931,1.459008454,8.365854
3,3.299711649,2.77981188,3.869307719,1.468277391,9.628571
3,3.283049812,2.838789935,3.772952828,1.558927769,7.204082
3,3.237052864,2.776003836,3.900963464,1.498347251,7.5
2.5,3.279238267,2.774185702,3.818726233,1.558188418,8.361111
3,3.278143889,2.775120534,3.868497687,1.479220958,7.468085
3,3.211159056,2.693501138,3.769417593,1.573119633,7.1
3.5,3.174462249,2.693050436,3.868522225,1.387081317,8.795918
4,3.304339126,2.816955584,3.847601037,1.608331519,10
3.5,3.190090753,2.66026891,3.907388017,1.422167184,8.564103
3.5,3.1766223,2.616396479,3.982800921,1.524450459,9.75
4.5,3.201878148,2.693869304,3.866408637,1.455659886,9.56
3,3.278783463,2.784206167,3.824173494,1.485651152,7.681818
3,3.267886513,2.842577685,3.731231091,1.50615835,8.96875
4.5,3.332664292,2.771890208,3.956992773,1.594557017,9.405405
3.5,3.346353393,2.888163446,3.887850603,1.59253426,8.339286
4,3.3634309,2.890293098,4.07114963,1.617870349,8.333333
4,3.159762991,2.636186984,3.754735726,1.336975958,9.702703
4.5,3.189936727,2.787728224,3.727830025,1.508400697,7.777778
4,3.231589121,2.658299668,3.864102692,1.506411586,10.584906
4.5,3.240738618,2.755358878,3.823194307,1.485756235,8.02381
4,3.308569743,2.727991364,3.904426501,1.604860448,9.518519
4,3.308540932,2.709652703,4.034367426,1.521558747,9.478261
3,3.26705963,2.877302092,3.69984235,1.485794677,6.769231
4.5,3.161306724,2.566443751,3.822265583,1.370153437,11.02381
4,3.314190018,2.756325579,3.917199557,1.504761494,8.847826
3.5,3.239323948,2.812943536,3.793178917,1.478396665,8.474576
3,3.371241435,2.84261857,3.926077005,1.608515948,8.83871
3.5,3.247769288,2.630013782,4.014638192,1.610227739,10.428571
4,3.27251814,2.655143114,3.901468948,1.565406245,13.259259
3.5,3.266057109,2.75489267,3.988875574,1.459202711,9.305556
3.5,3.243207606,2.711158697,3.963519976,1.41325537,9.026316
4,3.110459355,2.474048855,3.975017016,1.473656259,13.285714
3.5,3.284453448,2.817293363,3.790735314,1.458482772,8.175439
4,3.164721247,2.654271995,3.83411278,1.472723569,9.488889
4,3.116715753,2.587695239,3.853326595,1.480751169,10.046512
3.5,3.136565849,2.57067953,3.821218432,1.460258136,10.684211
4,3.293517396,2.862310049,3.794725937,1.534360782,7.26
3.5,3.090875915,2.579889984,3.865338965,1.388215359,10.371429
4,3.241791205,2.706114683,3.918886328,1.41624735,9.6875
3.5,3.104017304,2.562247709,3.900154331,1.420520668,9.829787
4.5,3.172828382,2.630671766,3.923252478,1.44052712,8.346154
4,3.236642136,2.756949084,3.815037463,1.448734075,10
3.5,3.258523485,2.674027333,3.795991212,1.44074265,8.159091
4,3.093792953,2.525182526,3.806616169,1.355556647,12
3,3.285541185,2.725417156,3.935096781,1.581396891,9.3125
3.5,3.203880418,2.727212466,3.833082116,1.41434232,9.054054
3.5,3.294243742,2.806919255,3.862788976,1.656432726,9.575
3.5,3.243689575,2.80430992,3.715218961,1.501857419,7.76
4,3.15973179,2.726812778,3.875122782,1.411364954,8.018868
4,3.284469362,2.767120882,3.921655626,1.476051053,9.543478
4,3.214097091,2.586783405,3.869137349,1.395126443,8.28
4,3.265129541,2.806295318,3.788428077,1.530031822,7.394737
4.5,3.225592586,2.849918272,3.787732982,1.374173233,7.851064
